ENGLISH,BANGLA
metal,ধাতু
whether,কিনা
push,ধাক্কা
seven,সাত
paragraph,অনুচ্ছেদ
third,তৃতীয়
shall,হবে
held,অনুষ্ঠিত
hair,চুল
describe,বর্ণনা
cook,রান্না
floor,মেঝে
either,হয়
result,ফলাফল
burn,পোড়া
hill,পাহাড়
safe,নিরাপদ
cat,বিড়াল
century,সেঞ্চুরি
consider,বিবেচনা
type,প্রকার
law,আইন
bit,বিট
coast,উপকূল
copy,অনুলিপি
phrase,বাক্যাংশ
silent,নীরব
tall,লম্বা
sand,বালি
soil,মাটি
roll,রোল
temperature,তাপমাত্রা
finger,আঙুল
industry,শিল্প
value,মান
fight,লড়াই
lie,মিথ্যা
beat,বীট
excite,উত্তেজিত
natural,প্রাকৃতিক
view,দেখুন
sense,ইন্দ্রিয়
ear,কান
else,অন্য
quite,বেশ
broke,ভেঙে
case,কেস
middle,মাঝারি
kill,হত্যা
son,পুত্র
lake,হ্রদ
moment,মুহূর্ত
scale,স্কেল
loud,জোরে
spring,বসন্ত
observe,পর্যবেক্ষণ
child,শিশু
straight,সোজা
consonant,ব্যঞ্জনবর্ণ
nation,জাতি
dictionary,অভিধান
milk,দুধ
speed,দ্রুততা
method,পদ্ধতি
organ,অঙ্গ
pay,পে
age,বয়স
section,অধ্যায়
dress,পোষাক
cloud,মেঘ
surprise,বিস্ময়
quiet,শান্ত
stone,পাথর
tiny,ক্ষুদ্র
climb,আরোহণ
cool,শীতল
design,নকশা
poor,দরিদ্র
lot,অনেক
experiment,পরীক্ষা
bottom,নীচে
key,চাবি
iron,আয়রন
single,একক
stick,লাঠি
flat,সমান
twenty,বিশ
skin,ত্বক
smile,হাসি
crease,ক্রিজ
hole,গর্ত
trade,বাণিজ্য
melody,মেলোডি
trip,ট্রিপ
office,দপ্তর
receive,গ্রহণ
row,সারি
mouth,মুখ
exact,ঠিক
symbol,প্রতীক
die,মারা
least,অন্তত
trouble,ঝামেলা
shout,চিৎকার
except,বাদে
wrote,লিখেছেন
seed,বীজ
tone,টোন
join,যোগ দিন
suggest,পরামর্শ
clean,পরিষ্কার
break,বিরতি
lady,মহিলা
yard,ইয়ার্ড
rise,উত্থান
bad,খারাপ
blow,ব্লো
oil,তেল
blood,রক্ত
touch,স্পর্শ
grew,বড় হয়েছি
cent,শতাংশ
mix,মিশ্রণ
team,টীম
wire,তার
cost,ব্যয়
lost,নিখোঁজ
brown,বাদামী
wear,পরা
garden,বাগান
equal,সমান
sent,প্রেরণ
choose,পছন্দ করা
fell,পড়ে গেছে
fit,ফিট
flow,প্রবাহ
fair,মেলা
bank,ব্যাংক
collect,সংগ্রহ
save,সংরক্ষণ
control,নিয়ন্ত্রণ
decimal,দশমিক
gentle,কোমল
woman,মহিলা
captain,ক্যাপ্টেন
practice,অনুশীলন করা
separate,পৃথক
difficult,কঠিন
doctor,ডাক্তার
please,অনুগ্রহ
protect,রক্ষা করুন
noon,দুপুর
whose,কার
locate,সনাক্ত করুন
ring,রিং
character,চরিত্র
insect,পোকামাকড়
caught,ধরা
period,পিরিয়ড
indicate,নির্দেশ করুন
radio,রেডিও
spoke,কথা বললাম
atom,পরমাণু
human,মানব
history,ইতিহাস
effect,প্রভাব
electric,বৈদ্যুতিক
expect,প্রত্যাশা
crop,ফসল
modern,আধুনিক
element,উপাদান
hit,আঘাত
student,ছাত্র
corner,কর্নার
party,পার্টি
supply,সরবরাহ
bone,হাড়
rail,রেল
imagine,কল্পনা করুন
provide,সরবরাহ করুন
agree,সম্মত
thus,এইভাবে
capital,মূলধন
won't,না
chair,চেয়ার
danger,বিপদ
fruit,ফল
rich,ধনী
thick,ঘন
soldier,সৈনিক
process,প্রক্রিয়া
operate,পরিচালনা
guess,অনুমান
necessary,প্রয়োজনীয়
sharp,তীক্ষ্ণ
wing,উইং
create,সৃষ্টি
neighbor,প্রতিবেশী
wash,ধুয়ে
bat,ব্যাট
rather,বরং
crowd,ভিড়
corn,কর্ন
compare,তুলনা করা
poem,কবিতা
string,স্ট্রিং
bell,বেল
depend,নির্ভর করে
meat,মাংস
rub,ঘষা
tube,নল
famous,বিখ্যাত
dollar,ডলার
stream,স্ট্রিম
fear,ভয়
sight,দৃষ্টিশক্তি
thin,পাতলা
triangle,ত্রিভুজ
planet,গ্রহ
hurry,তাড়াতাড়ি
chief,প্রধান
colony,কলোনী
clock,ঘড়ি
mine,আমার
tie,টাই
enter,প্রবেশ করুন
major,মেজর
fresh,টাটকা
search,অনুসন্ধান
send,প্রেরণ
yellow,হলুদ
gun,বন্দুক
allow,অনুমতি দিন
print,ছাপা
dead,মৃত
spot,স্পট
desert,মরুভূমি
suit,স্যুট
current,কারেন্ট
lift,উত্তোলন
rose,গোলাপ
continue,চালিয়ে যান
block,ব্লক
chart,চার্ট
hat,টুপি
sell,বিক্রয়
success,সাফল্য
company,প্রতিষ্ঠান
subtract,বিয়োগ
event,ঘটনা
particular,বিশেষ
deal,ডিল
swim,সাঁতার
term,শব্দ
opposite,বিপরীত
wife,স্ত্রী
shoe,জুতো
shoulder,কাঁধ
spread,ছড়িয়ে পড়া
arrange,ব্যবস্থা করা
camp,শিবির
invent,উদ্ভাবন
cotton,সুতি
born,জন্ম
determine,নির্ধারণ করুন
quart,কোয়ার্ট
nine,নয়
truck,ট্রাক
noise,শব্দ
level,স্তর
chance,সুযোগ
gather,জড়ো
shop,দোকান
stretch,প্রসারিত
throw,নিক্ষেপ
shine,চকচকে
property,সম্পত্তি
column,কলাম
molecule,অণু
select,নির্বাচন করুন
wrong,ভুল
gray,ধূসর
repeat,পুনরাবৃত্তি
require,প্রয়োজন
broad,বিস্তৃত
prepare,প্রস্তুত করা
salt,লবণ
nose,নাক
plural,বহুবচন
anger,রাগ
claim,দাবি
continent,মহাদেশ
oxygen,অক্সিজেন
sugar,চিনি
death,মৃত্যু
pretty,সুন্দর
skill,দক্ষতা
women,মহিলা
season,মৌসম
solution,সমাধান
magnet,চৌম্বক
silver,রৌপ্য
thank,ধন্যবাদ
branch,শাখা
match,ম্যাচ
suffix,প্রত্যয়
especially,বিশেষত
fig,ডুমুর
afraid,ভয়
huge,বিশাল
sister,বোন
steel,ইস্পাত
discuss,আলোচনা করা
forward,ফরোয়ার্ড
similar,অনুরূপ
guide,গাইড
experience,অভিজ্ঞতা
score,স্কোর
apple,অ্যাপল
bought,কিনলেন
led,এলইডি
pitch,পিচ
coat,কোট
mass,ভর
card,কার্ড
band,ব্যান্ড
rope,দড়ি
slip,স্লিপ
win,জয়
dream,স্বপ্ন
evening,সন্ধ্যা
condition,শর্ত
feed,ফিড
tool,টুল
total,মোট
basic,বেসিক
smell,গন্ধ
valley,উপত্যকা
nor,না
double,দ্বিগুণ
seat,আসন
arrive,পৌঁছান
master,মাস্টার
track,ট্র্যাক
parent,পিতামাতা
shore,কূল
division,বিভাগ
sheet,শীট
substance,পদার্থ
favor,আনুকূল্য
connect,সংযুক্ত
post,পোস্ট
spend,ব্যয় করা
chord,জ্যা
fat,চর্বি
glad,খুশি
original,আসল
share,শেয়ার
station,স্টেশন
dad,বাবা
bread,রুটি
charge,চার্জ
proper,সঠিক
bar,বার
offer,অফার
segment,বিভাগ
slave,দাস
duck,হাঁস
instant,তাত্ক্ষণিক
market,বাজার
degree,ডিগ্রি
populate,পপুলেট
chick,ছানা
dear,প্রিয়
enemy,শত্রু
reply,উত্তর
drink,পান করা
occur,ঘটছে
support,সমর্থন
speech,বক্তৃতা
nature,প্রকৃতি
range,পরিসীমা
steam,বাষ্প
motion,গতি
path,পথ
liquid,তরল
log,লগ
meant,অর্থ
quotient,ভাগ
teeth,দাঁত
shell,শেল
neck,ঘাড়
